_id,p_id,p_name,p_cost,p_category,p_img,p_desc
,,Adidas Men's Clinch-X M Running Shoe,1700,Mens Footwear,https://m.media-amazon.com/images/I/71sfbi31lhL._SL1500_.jpg,Upper: Mesh upper for lightweight and breathability ;These are Men Running Shoes ;Brand: Adidas ;Midsole: lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces.
,,Adidas Mens Adi-pace M Running Shoe,"2,899",Mens Footwear,https://m.media-amazon.com/images/I/71VQxLV+h4L._SL1500_.jpg,"Material typeMesh
Closure typeLace-Up
Heel typeFlat
Water resistance levelNot Water Resistant
Sole materialRubber
StyleAdi-Pace M
Country of OriginIndia"
,,Mochi Women Synthetic Slippers (32-1245),1490,Womens Footwear,https://m.media-amazon.com/images/I/61zuxBCGuuL._SL1500_.jpg,"Care instructionsCare Instructions: Rotate your pair of shoes once every other day, allowing them to de-odorize and retain their shapes.Use Shoe bags to prevent any stains or mildew
Sole materialThermoplastic Rubbers
Outer materialSynthetic
Closure typeSlip On"
,,Mochi Womens Synthetic Sandals,"1,253",Womens Footwear,https://m.media-amazon.com/images/I/81fSvC8g2HL._SL1500_.jpg,"Closure typeBackstrap
Heel typeWedge Heel
Water resistance levelNot Water Resistant
StyleSlingback
Care instructionsAllow your pair of shoes to air and de-odorize at regular basis; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth; do not use polish or shiner
Strap typeHeel Type
Country of OriginIndia"
,,TCCO Natural Sneaker & Shoe Cleaner Wipes - 1 Packs of 80,299,Shoes Accessories,https://m.media-amazon.com/images/I/71vb1+-y+vL._SL1480_.jpg,"Care instructionsPowerful Premium Cleaning Solution, One-Step Cleaning: Just Wipe, Need No Water, Applicable to Various Shoes & Cause No HarmPowerful Premium Cleaning Solution, One-Step Cleaning: Just Wipe, Need No Water, Applicable to Various Shoes & Cause No Harm
Water resistance levelWater Resistant
Country of OriginChina"
,,"SNEAKARE Basic Shoe Cleaning Kit 100 ml Shoe Cleaner & 1 Medium Bristle Shoe Cleaner Brush, White Shoe Cleaning Kit, Shoe Cleaner Kit For Sneakers, Sports Shoe Cleaner Foam Spray",589,Shoes Accessories,https://m.media-amazon.com/images/I/61R48mgQTvL._SL1080_.jpg,"The Basic shoe cleaning kit is your sneakers savior. It has a 100ml cleaner and 1 medium bristle brush.
This shoe cleaning kit tends to remove all the dirt and debris from your shoes easily. It is an economic version of cleaning kits.
This cleaning kit is pocket friendly and it doesn't hurt your sneakers or your pockets! Now treat your favorite pair of sneaker with the treatment that they really deserve.
This kit ensures sneaker care at a reasonable price and takes care of your shoe when it comes to fighting off the stains and dust.
The Basic shoe cleaning kit is sneakare's best selling product and is often liked by all the sneaker heads."
,,"SNEAKARE Water Repellent Shoe Spray Sneaker Protector Spray, Liquid Stain Protector, Hydrophobic Spray, Sneakers Protector for Leather, Nubuck, Suede & Canvas",899,Shoes Accessories,https://m.media-amazon.com/images/I/41vafp+67iL._SL1080_.jpg,"Long-lasting Protection: Our 200 ml can of shoe protector spray safeguards up to 10 pairs of shoes with a single coat and an impressive 10 pairs when double-coated, ensuring your footwear stays clean and dry in any weather.
Extended Durability: Enjoy peace of mind with our shoe protector from rain spray that offers up to 4 weeks of protection with a double coat, allowing you to confidently wear your favorite shoes without fear of dirt or liquids ruining them."
,,Coolz Baby Unisex Casual First Walking Shoes Pogo-2 for 1-4 Years Boys and Girls,800,Kids Footwear,https://m.media-amazon.com/images/I/81zygI-uB5L._SL1500_.jpg,"Kids unisex shoes for casual, sports and party wear. Easy to wear slip-on shoes.
For correct fit: Kindly measure the foot length of your baby in cm and refer to our size chart shown in the photos section. Also its better to purchase footwear 1/2 cm bigger than your baby's foot size.
Upper material: Synthetic, Mesh. Upper made of high quality material"
,,"ARETTO, Expanding Kids Shoes | 1 Shoe, 3 Sizes | Everyday Wear Shoes | School Shoes | Party Shoes | Age 1 to 10 Years",2469,Kids Footwear,https://m.media-amazon.com/images/I/41rv1tDWAsL._SL1080_.jpg,"Designed for growing feet: Podiatrist approved shoes which expand with your child’s feet, adapting to their natural foot shape and ensuring healthy foot development.
1 shoe, 3 sizes: Aretto leaps expands to fit your child unlike traditional shoes that tend to restrict their growth. Our patented 3D knit fabric and SuperGrooves soles, open-up to fit their growing feet, expanding up to three whole sizes."
,,Fila Men's Karel Plus Slipper,709,Slippers,https://m.media-amazon.com/images/I/71rHuQrw0cL._SL1500_.jpg,"Material typeOther
Closure typeSlip On
Heel typeFlat
Water resistance levelNot Water Resistant
StyleCasual
Strap typeThong
Country of OriginIndia"
,,Puma unisex-adult Leadcat Slide Sandal,1049,Slippers,https://m.media-amazon.com/images/I/6127WGyyVWL._SL1500_.jpg,"Style Name:-Leadcat Sandals
Upper Material:-Synthetic Leather
Lower Material:-EVA
Care Instructions: Wipe with a clean dry cloth
Warranty Period: 90 Days Manufacturers Warranty"
,,Hush Puppies Mens Aaron Derby E 23 Derby,"2,050",Mens Footwear,https://m.media-amazon.com/images/I/714ckrRfiUL._SL1500_.jpg,"Comfortable and breathable
Color Black
Material Leather
Clean with dry clothes"
